attendance,study_hours,sleep_hours,screen_time,assignment_load,exam_frequency,social_interaction,burnout_level
68.73,7.71,7.24,9.31,4,5,7.7,0
97.54,8.58,4.86,6.2,3,5,6.7,0
86.6,4.75,8.36,7.8,5,4,7.11,0
79.93,7.37,7.07,5.49,1,4,8.26,0
57.8,7.0,4.79,7.04,2,5,6.96,0
57.8,8.83,8.81,4.72,3,3,3.95,0
52.9,9.34,6.59,4.41,1,4,4.38,0
93.31,3.09,4.36,6.63,1,5,9.07,0
80.06,7.72,7.13,5.99,2,2,1.15,0
85.4,3.36,5.27,6.64,2,4,7.29,0
51.03,6.84,8.02,4.29,4,3,9.59,0
98.5,5.01,8.09,4.94,5,1,7.36,0
91.62,5.15,8.89,2.67,3,2,9.95,0
60.62,5.47,6.51,2.42,5,3,7.19,0
59.09,7.35,6.27,4.03,3,3,1.31,0
59.17,5.34,7.77,2.59,1,3,8.44,0
65.21,8.13,4.66,2.83,2,2,3.56,0
76.24,5.83,6.73,8.5,2,3,5.01,0
71.6,3.48,6.73,2.31,1,1,3.81,0
64.56,8.49,4.45,7.27,1,4,3.42,0
80.59,5.0,6.09,4.18,3,2,4.88,0
56.97,6.03,8.27,8.97,1,3,4.41,0
64.61,7.8,8.28,5.88,3,5,6.7,0
68.32,5.33,4.5,4.44,5,4,8.32,0
72.8,3.4,4.45,6.14,2,2,3.67,0
89.26,5.62,5.31,5.06,2,5,2.92,0
59.98,9.61,8.37,6.51,2,5,7.0,0
75.71,7.49,4.64,2.92,5,3,7.03,0
79.62,7.7,7.6,9.98,5,2,9.11,0
52.32,7.43,4.51,5.4,4,3,1.14,0
80.38,4.39,7.12,4.79,3,1,8.68,0
58.53,5.93,5.78,7.68,3,5,5.69,0
53.25,8.26,7.94,4.91,4,1,6.59,0
97.44,3.71,5.17,8.67,2,3,1.82,0
98.28,4.94,7.2,5.63,3,4,4.89,0
90.42,4.93,5.18,7.76,3,5,3.05,0
65.23,6.02,7.57,2.86,2,4,3.29,0
54.88,9.86,8.37,8.77,1,2,5.54,0
84.21,3.47,4.63,7.89,1,5,8.31,0
72.01,6.63,8.33,3.69,4,1,7.69,0
56.1,4.26,6.97,3.16,5,4,6.32,0
74.76,9.79,4.64,4.53,3,2,5.85,0
51.72,3.79,6.14,9.81,3,5,4.85,0
95.47,5.83,4.8,4.05,4,2,9.75,0
62.94,8.17,7.5,5.65,4,1,6.04,0
83.13,7.93,7.79,2.24,3,5,3.29,0
65.59,5.96,4.53,5.18,2,2,3.07,0
76.0,5.43,6.53,6.57,2,3,6.5,0
77.34,5.78,8.07,9.62,5,5,5.71,0
59.24,4.85,8.68,6.13,3,5,1.07,0
98.48,4.44,6.57,8.55,3,5,8.47,0
88.76,6.38,8.75,6.38,3,5,7.34,0
96.97,4.88,6.68,2.33,3,3,6.96,0
94.74,5.01,5.97,4.52,4,1,1.62,0
79.89,7.6,8.24,6.6,1,3,4.26,0
96.09,9.78,6.46,9.6,3,3,9.42,0
54.42,7.23,6.36,8.87,1,2,8.76,0
59.8,3.54,6.45,3.83,2,4,3.57,0
52.26,3.53,8.23,3.76,5,4,2.41,0
66.27,9.66,8.16,3.61,2,2,5.04,0
69.43,5.08,6.02,9.38,3,3,4.2,0
63.57,3.64,5.67,8.82,2,2,7.14,0
91.44,7.19,6.46,8.2,4,5,9.7,0
67.84,7.37,6.86,5.14,1,2,4.27,0
64.05,7.54,5.19,6.04,3,2,1.56,0
77.13,4.87,7.97,5.71,4,5,9.08,0
57.05,3.11,6.43,4.03,1,4,1.34,0
90.11,9.76,5.67,6.04,4,5,9.57,0
53.73,4.76,4.53,2.24,2,1,6.98,0
99.34,7.73,5.19,3.05,3,2,9.48,0
88.61,7.95,8.75,9.09,2,2,2.8,0
59.94,7.27,5.53,8.01,5,4,1.37,0
50.28,5.19,4.84,5.38,3,3,5.39,0
90.77,4.9,6.3,6.14,2,5,5.06,0
85.34,7.18,5.54,4.96,3,3,3.98,0
86.45,9.06,4.18,7.93,1,1,9.62,0
88.56,9.63,5.62,8.27,3,5,8.4,0
53.7,3.74,6.72,8.11,3,1,6.95,0
67.92,4.08,6.76,7.78,1,1,2.47,0
55.79,9.61,5.78,3.64,2,1,7.61,0
93.16,8.16,6.24,4.7,3,5,7.54,0
81.16,9.18,8.83,5.76,4,5,4.83,0
66.54,4.42,5.89,4.65,3,4,9.32,0
53.18,7.11,5.29,8.04,2,2,2.5,0
65.55,7.91,5.22,4.63,1,3,3.41,0
66.26,7.76,6.29,3.11,2,3,1.57,0
86.48,5.86,7.8,5.19,5,1,8.16,0
81.88,3.11,5.03,9.84,3,5,6.6,0
94.36,7.08,7.55,3.81,3,5,3.83,0
73.61,4.77,4.11,6.9,1,1,2.47,0
55.98,6.15,6.09,5.46,3,2,1.36,0
85.66,9.7,7.88,2.57,4,3,2.5,0
88.04,5.79,5.69,5.9,4,4,5.08,0
78.06,8.88,6.82,7.62,2,2,3.22,0
88.55,4.32,5.02,6.11,1,5,3.33,0
74.69,7.71,7.71,8.98,5,1,8.88,0
76.14,9.84,4.26,4.31,2,3,5.64,0
71.38,3.71,8.26,2.69,1,1,7.56,0
51.27,3.06,4.99,9.49,1,5,1.32,0
55.39,6.04,8.37,5.03,2,1,4.29,0
51.57,3.65,5.76,6.61,2,3,5.31,0
81.82,8.24,7.61,8.34,3,1,2.68,0
65.72,9.4,5.6,4.59,5,3,2.08,0
75.43,6.04,8.53,7.73,4,1,8.83,0
95.38,4.81,4.63,3.08,3,1,9.45,0
62.46,6.04,4.89,4.33,1,3,1.71,0
70.52,8.06,6.47,3.16,5,1,4.14,0
87.78,3.06,4.41,8.49,5,2,9.62,0
61.44,7.13,4.98,3.78,2,4,1.75,0
53.85,7.29,8.72,7.74,5,2,6.79,0
64.49,7.46,8.88,9.55,5,4,9.75,0
58.06,4.69,5.88,6.22,1,2,9.8,0
96.48,8.0,8.62,6.32,3,4,5.24,0
90.41,3.64,6.72,5.69,5,1,2.46,0
81.67,4.39,5.35,4.61,2,3,2.82,0
93.57,9.14,7.51,5.81,3,3,9.01,0
90.18,8.17,7.29,6.82,2,5,9.21,0
59.33,3.1,8.95,9.89,5,4,6.47,0
94.63,4.74,5.33,9.5,3,5,7.9,0
76.97,4.5,7.36,8.9,5,5,7.66,0
90.37,4.9,4.26,9.11,1,4,6.96,0
94.8,4.73,4.57,5.74,3,3,8.45,0
65.9,3.44,4.02,7.26,2,4,7.17,0
55.5,6.21,9.0,9.16,1,1,5.81,0
61.4,8.13,8.01,5.14,4,5,3.13,0
71.36,7.25,7.93,9.69,2,5,7.69,0
90.9,7.71,6.55,5.33,5,4,5.26,0
93.04,3.57,5.5,6.81,2,5,3.65,0
50.35,9.66,4.76,7.68,4,3,8.22,0
75.54,8.87,5.42,9.6,2,5,7.27,0
70.87,8.64,5.88,3.96,1,4,9.44,0
61.11,8.76,7.78,7.97,2,3,2.49,0
55.99,9.53,6.7,6.17,3,3,6.84,0
66.88,6.81,4.39,4.15,4,5,3.2,0
97.15,4.4,4.09,8.21,2,4,9.13,0
66.16,7.32,4.51,6.42,4,5,1.9,0
75.94,8.2,6.05,7.29,1,1,6.91,0
85.15,8.17,8.67,4.58,3,1,8.12,0
68.18,6.65,7.19,5.85,5,3,4.19,0
98.59,3.48,8.01,6.94,2,5,9.59,0
98.12,5.6,6.33,5.24,1,1,8.66,0
62.59,9.45,5.81,3.59,4,2,3.65,0
74.86,7.09,4.54,9.69,4,1,1.07,0
